00:00:cleamoon__: 话说初中有java好神奇
00:00:POPOBE: 恩，小学vb
00:00:Zirc joined channel
00:00:POPOBE: 初中java
00:02:cleamoon__: 小学vb，不堪回首呀
00:02:xxxxxxxx: 蓝翔附属的中小学吧...
00:03:cleamoon__: 蓝翔那么高端的学校怎么可能教java和vb之流，他们只学word
00:03:POPOBE: 当时计算机老师教完我们开关机就说不然玩玩vb吧
00:03:endle quit:Ping timeout: 250 seconds
00:03:Xilzzert quit:Ping timeout: 245 seconds
00:05:cleamoon__: 当时要是能教pascal就好了
00:06:POPOBE: lisp
00:07:cleamoon__: 那就毁了
00:07:cleamoon__: 新人妹子怎么发现的这里
00:07:POPOBE: 我讨厌那种第一眼看上去零零散散的语言
00:07:POPOBE: 我当时不是写socket服务器么-=-
00:08:POPOBE: 然后找资料的时候看到irc
00:08:POPOBE: 就不想写了
00:08:POPOBE: 两三个月以后装arch的时候遇到点困难
00:08:uuair left channel:
00:08:POPOBE: 就说去arch的irc看看
00:08:POPOBE: 就装了irssi
00:08:POPOBE: 然后今天写完作业正闲着
00:09:POPOBE: 就随便找了个不用说英文的irc频道
00:09:cleamoon__: 写完作业正闲着？你确定你是高三不是初二？
00:09:POPOBE: 百度irc，第四个词条下面第二个就是c_lang_cn
00:09:POPOBE: 我是一个国际部的高三哈哈哈…
00:10:cleamoon__: 这里那么有名呀，看来还是我们吓跑的太多了
00:10:cleamoon__: 国际部，莫非要肉身翻墙
00:10:POPOBE: 我是肉身翻回来的
00:11:cleamoon__: 莫非是金发萝莉？
00:11:POPOBE: 我去年在一所美国高中毕业，我爸不想让我上大学
00:11:POPOBE: 也不能有gap year
00:11:POPOBE: 就回来了
00:11:cleamoon__: ......
00:11:POPOBE: 可是我不想考出去
00:11:cleamoon__: 为什么不上大学
00:12:POPOBE: 所以就刷高考
00:12:cleamoon__: .........
00:12:POPOBE: 他说我还太小
00:12:cleamoon__: 那不遭中了吗
00:12:POPOBE: 去年我才16
00:12:cleamoon__: 差不多呀
00:12:POPOBE: 还好恶补了一个暑假，从上午7点上课上到晚上11点
00:12:POPOBE: 两个月都补起来了
00:13:POPOBE: 结果就是现在我不想学了
