00:00:varna: 我这辈子也没见过电脑巫妖开大呢，说不定这次能知道他们其实是会放大的……
00:01:Xilzzert joined channel
00:01:cleamoon__: ud等级最高的是5级51，ne等级最高的是2级wd……
00:01:varna: 卧槽！我在贴吧见到了横镇的yuanlao!
00:01:varna: ne2333
00:02:cleamoon__: 2333，野怪开始截ud后援了，难道要avatar？
00:02:cleamoon__: ne掉了一家
00:03:varna: 5v4...ne输定了
00:03:varna: 电脑的开矿思路差不了太多，这样ne没任何优势
00:03:varna: 最后估计会被ud的混编大军淹没
00:04:cleamoon__: 已经是10矿打4矿了
00:04:varna: ...
00:04:varna: 没救了
00:04:Xilzzerts quit:Ping timeout: 252 seconds
00:04:cleamoon__: 三家ne是20000+钱，200-木……
00:05:yzld2002 quit:Quit: yzld2002
00:06:cleamoon__: 又掉一家
00:06:varna: 已经被打得出不了兵了么……
00:06:varna: 我好想看看失传已久的TopSpeed流
00:06:varna: 那样的战术现在只有发狂AI再用了
00:06:varna: 在*
00:06:cleamoon__: 最后一个回城，我以为大部队回来呢，结果两个一级英雄三个弓箭手…
00:07:varna: ...
00:07:cleamoon__: topspeed流？
00:07:varna: 混乱之治时代的打法
00:07:varna: 莫名其妙的大部队混编立体攻势
00:07:varna: 看起来超炫，战力也极好，就是一个问题：你造不出来那么多
00:07:cleamoon__: 差不多……
00:07:erhandsome quit:Ping timeout: 252 seconds
00:08:cleamoon__: 我去，一家ne是不是难度挑错了，只有一个远古之树在出兵，都不是三本，钱木都10000+
00:08:varna: 难度调错也不会这么打吧
00:09:varna: E是大量爆兵，N是战术玩脱，H是资源优势……
00:09:varna: w3的AI就这三个思路吧
00:09:cleamoon__: 至今那个ne只有36/60的人口
00:10:varna: 意识模糊
00:10:cleamoon__: ud的大部队攻击力太高了
00:10:varna: 但我觉得H难度对轰，应该只有兽人能跟ud一拼
00:10:varna: ud的大部队极其可怕
00:11:cleamoon__: 下场试试ud v orc
00:11:varna: 我以前似乎见过sky和moon的一个娱乐比赛，最后忘记谁赢了
00:11:varna: hum vs. ne, 两边是三英雄和一百人口部队
00:11:cleamoon__: 那家ne到现在英雄1级，连回程都没用
00:12:varna: 初始给了些道具，然后两边走到地图中间开始对杀
00:12:cleamoon__: moon吧，我记得一场全图树爬过来推塔
00:12:varna: 不是那个
00:12:varna: 不是正常比赛，就是对杀
00:12:cleamoon__: …………
00:13:cleamoon__: 啊哈，最后一个ne太强了，坐怀不乱，犹如仙人
00:13:varna: 噗
00:13:varna: 科技升多少了
00:13:varna: 总得有三本吧，法术也该都有了吧
00:14:ray- joined channel
00:14:cleamoon__: 英雄卡死在基地里，外边就两个山和两个奇美拉，然后连兵都不造了
00:14:varna: ...
00:14:varna: 没救了，不忍直视
00:15:varna: 等着铺天盖地一堆玩意杀过来吧……
00:15:cleamoon__: 啊，他反应过来了，狂出精灵龙
00:15:varna: 噗
00:15:varna: 噗哈哈哈
00:15:varna: 简直意识模糊
00:16:cleamoon__: ud在进行自家警备
00:16:cleamoon__: 顺便把全图都开上矿
00:16:cleamoon__: ai竟然也有如此闲情雅趣
00:16:varna: ...
00:17:varna: 这时候不该全英雄一人一个头骨，全搬砖队出动，大部队掩护TR走起……
00:17:cleamoon__: 这部队，ne有个10级阿克蒙德也没戏了
00:17:varna: 胖子压阵冰龙压制投石车主攻农民起塔，英雄可以跳舞助兴
00:18:cleamoon__: ud不进攻……
00:18:cleamoon__: 难道等着ne自己退吗
00:18:varna: 我觉得太慢就可以不看了
00:18:varna: 胜负已定
00:19:cleamoon__: 我想看看最后ne都什么英雄
00:19:varna: 23333
00:19:hysw: -_-
00:19:cleamoon__: 好了，一家开始进攻了
00:20:cleamoon__: 地狱火下来了
00:20:varna: 噗
00:21:varna: 我了个大槽
00:21:cleamoon__: 空血地狱火和远古之树对刚，马上地狱火就倒了，树被冻上了，简直悲惨……
00:21:varna: 死腐术呢，巫妖快放死腐术啊
00:22:cleamoon__: 目及之处都是ud的兵…
00:22:varna: 这简直历史
00:22:varna: 剧情里ud也是大部队一路推下去，敌人毫无还手之力……
00:22:cleamoon__: 我去，坑爹呀，地图上藏了个月亮井……
00:23:varna: ...
00:23:cleamoon__: ud继续开矿……
00:23:Petrus07 quit:Quit: Leaving.
00:23:varna: http://imgsrc.baidu.com/forum/w%3D580%3B/sign=1b0d6f8e6409c93d07f20effaf06f9dc/34fae6cd7b899e51dda91f9441a7d933c8950d0e.jpg 岚月酱看这个插画如何
00:23:cleamoon__: 结束了
00:24:cleamoon__: 还不错，没看出和舰娘什么关系
00:24:cleamoon__: ne最高的3 2 1，ud最低的6 4 2
00:25:varna: 新刊的插画，左野分右舞风
00:25:cleamoon__: ne到最后只有一个dh
00:25:varna: 最低642……
00:25:cleamoon__: ud死了一个英雄，ne死了68个
00:26:cleamoon__: 简直炫酷
00:26:varna: 噗哈哈哈
00:26:varna: 刷英雄练级超爽快的
00:26:cleamoon__: 好了，ud打orc
00:27:varna: 这个值得关注
00:27:varna: 我弄点咖啡去
00:27:cleamoon__: ice crown图
00:27:varna: 哦瘊瘊
00:28:varna: 买到了30k家具币的赛钱箱
00:29:cleamoon__: 我去去去去，坑爹那，一个兽族基地在两个ud基地边上
00:30:lh_mouse: 妹子
00:31:varna: 第二话似乎是日常福利
00:31:cleamoon__: 四只虫子……
00:32:varna: 噗
00:32:varna: 剩下一个呢
00:32:varna: 这次总该有dk了吧
00:32:cleamoon__: 恐惧…
00:32:varna: ...
00:32:varna: 这怎么打
00:32:varna: 连巫妖都没了
00:32:cleamoon__: 三先知两剑圣
00:32:varna: 兽人的英雄比他们合理啊
00:33:cleamoon__: 这个图会掉天灾骨钟这类东西，看看他们能不能弄到好东西
00:34:cleamoon__: ud强练7级怪，死了4只蜘蛛……
00:35:cleamoon__: 怪还没死……
00:35:varna: ...
00:38:cleamoon__: 二本出了dk，为了打野怪用了个大无敌……
00:39:erhandsome joined channel
00:40:varna: ...
00:40:varna: 我该说什么好
00:40:cleamoon__: 一个ud去打基地，两家回程杀了ne两个英雄
00:41:varna: 这得有多豪爽……
00:41:varna: ne?
00:41:varna: orc
00:41:cleamoon__: orc
00:41:varna: 噗噗
00:41:varna: 毛蛋
00:41:cleamoon__: 然后大混战
00:41:varna: 怎么谣言越来越离谱
00:42:varna: 先前说私服吧主被揍了，后来说领着揍他的是个条子，那条子还是个舰狗……
00:42:lh_mouse: 妹子
00:42:varna: 我以前就听说过有人直播跳楼，结果围观群众里有个条子，直接紧急出动把楼主救下来了……
00:43:cleamoon__: 2333
00:43:varna: 当时我还看了那帖
00:43:cleamoon__: 好神奇
00:43:varna: 条子最后表示胜利了，人反正是救下来了，情绪已经稳定云云
00:43:cleamoon__: 混战ud五打三，赢了，一家orc被炒
00:44:varna: 噗
00:44:varna: orc什么阵容啊
00:44:varna: 不会傻乎乎出了狼骑吧
00:44:varna: 没猜错还有巨魔？
00:44:cleamoon__: 就是狼骑……
00:45:varna: 我记得电脑orc是按科技树出兵的
00:45:cleamoon__: 打到最后不死全是骷髅和冰龙
00:45:varna: ...
00:45:varna: 白牛呢
00:45:cleamoon__: 巨魔很少
00:45:cleamoon__: 白牛根本没看到
00:45:varna: 噗噗
00:45:varna: 好歹也得有几个上灵魂链的啊
00:46:varna: 开了灵魂链的orc很抗打的
00:46:cleamoon__: 然后orc开始送兵
00:46:cleamoon__: 冰龙开始鬼畜
00:47:cleamoon__: 怎么又没木头了
00:48:cleamoon__: 兽族不愿放弃已经被拆光的基地，剑圣配几个ntr打对方全军
00:48:cleamoon__: 于是ud二本英雄都4级了
00:48:varna quit:Read error: Connection reset by peer
00:49:varna joined channel
00:50:cleamoon__: 又掉一家orc，没人回救，都在图中间的矿绕圈跑锻炼身体
00:51:cleamoon__: 10+个冰龙太猛了
00:52:cleamoon__: 我去，ud召唤出了红龙
00:53:cleamoon__: 两发尸体复活又带走一家
00:59:varna: 日，网掉了
00:59:varna: 现在剩几家？
00:59:cleamoon__: 结束了
00:59:cleamoon__: 一场混战输了就全线崩盘
01:00:cleamoon__: 英雄等级压制了
01:00:cleamoon__: 部队数量也压制了
01:00:cleamoon__: orc除了一片巨魔巫医
01:01:cleamoon__: 没有aoe，除了飞龙没有远程，生拼ud空军骷髅海
01:01:cleamoon__: 于是捉急了
01:01:cleamoon__: 下面，ud打ud
01:01:lh_mouse: 妹子
01:03:varna: ud内战……
01:04:varna: 内战不好看，不过AI比较逗乐
01:04:cleamoon__: 选的图中间全是
01:05:cleamoon__: 6+级混乱攻击的
01:05:cleamoon__: 看看他们怎么打
01:06:varna: 2333
01:06:cleamoon__: 一边三dk，一个恐惧，一虫
01:07:cleamoon__: 另一边一样一个外加一个恐惧
01:13:tutu quit:Quit: WeeChat 1.0.1
01:14:erhandsome quit:Quit: leaving
01:36:varna: 现在打得如何了
01:40:cleamoon__: 还没怎么打
01:40:cleamoon__: 中间的野怪吓了他们20min
01:42:varna: ...
01:43:cleamoon__: 还没有5v5的大规模团战
01:43:cleamoon__: 来了来了
01:44:cleamoon__: 我去，打一半其中一边四家撤了
01:44:varna: ...
01:44:cleamoon__: 于是被打一个分基地
01:45:cleamoon__: 不知道为什么，战局总是很小，可能地图太宽了
01:49:varna: 这简直乱打
01:50:cleamoon__: 就是乱打
01:50:cleamoon__: 刚刚一群5+级英雄去打野了……
01:51:varna: ...
01:51:varna: 吓得我差点从椅子上摔下去了
01:52:cleamoon__: 然后被椅子爆菊了
01:52:varna: 看个轻量版的生肉
01:52:varna: 一上来就是欠雪起来晨练……
01:52:varna: 然后被绊倒了
01:53:varna: 之后是巨反动的OP
01:53:cleamoon__: 233
01:53:varna: 在给原一航战镜头的时候还插入了MI作战的被弹镜头
01:54:lh_mouse quit:Read error: Connection reset by peer
01:54:varna: 暂停到了……
01:55:varna: 看样子应该是加贺
01:55:varna: 被弹三
01:57:varna: 和游戏相反，似乎动画很强调机动部队的样子
01:57:cleamoon__: 好画？
01:57:varna: 大概是“命运的五（十）分钟”和“我能赢”的错觉
01:57:cleamoon__: ………
01:58:varna: 刚开始是驱逐舰的教室
01:58:varna: 主役的睦月、欠雪、POI三人，特三型四人、岛风
01:58:varna: 教师是足柄
01:59:varna: 鬼教师……
01:59:varna: 噗
01:59:varna: 这些舰娘是怎么知道氧气鱼雷的甲液是个什么东西的
02:00:varna: 按说即使在实战部队里，整备士也不太明白那个甲液其实是氧……
02:00:cleamoon__: ……
02:00:varna: 然后是欠雪例行的每话一撞，这回撞的是训练场的柱子
02:00:cleamoon__: ………
02:01:varna: 来围观欠雪乱摔的还有著名的萝莉控长门
02:01:varna: 表示「虽然明白提督的期待，但是……」
02:01:varna: 下半句一定是「但是肚脐好棒啊」
02:02:varna: 而且游戏的一设里，欠雪憧憬的明明是扶桑啊
02:02:varna: 战 舰 派 大 失 败
